,index,age,marital,education,balance,loan,previous,y
23083,24092,27,married,secondary,2329,no,0,yes
23085,24094,47,divorced,tertiary,12026,no,0,yes
23087,24096,39,married,secondary,1757,no,0,yes
23088,24097,57,married,secondary,7554,no,0,yes
23089,24098,38,married,tertiary,385,no,0,yes
23090,24099,43,married,secondary,107,yes,0,yes
23091,24100,34,married,secondary,1012,yes,0,yes
23093,24102,35,divorced,tertiary,0,no,0,yes
23094,24103,58,divorced,tertiary,372,yes,0,yes
23096,24106,59,divorced,tertiary,258,no,0,yes
23097,24107,35,single,tertiary,7506,no,0,yes
23098,24108,42,divorced,secondary,314,no,0,yes
23099,24109,43,married,secondary,860,no,0,yes
23101,24111,34,married,secondary,0,no,0,yes
23102,24112,35,single,secondary,3623,no,0,yes
23104,24114,38,single,secondary,2470,no,0,yes
23105,24115,39,married,secondary,1307,no,0,yes
23106,24116,58,divorced,tertiary,3237,no,0,yes
23110,24120,60,married,tertiary,5041,no,0,yes
23114,24124,56,married,secondary,6619,no,0,yes
23116,24126,50,divorced,secondary,237,yes,0,yes
23119,24129,31,married,tertiary,1331,no,0,yes
23120,24130,37,married,secondary,1970,no,0,yes
23121,24131,44,married,secondary,706,no,0,yes
23122,24132,59,divorced,secondary,1026,no,0,yes
23124,24134,49,married,secondary,249,no,0,yes
23127,24137,30,single,tertiary,12857,no,0,yes
23129,24139,31,single,tertiary,2807,no,0,yes
23131,24141,29,single,tertiary,572,no,0,yes
23133,24143,40,married,secondary,5060,no,0,yes
23142,24152,43,married,secondary,2271,no,0,yes
23144,24154,48,married,tertiary,1,no,0,yes
23148,24158,34,married,tertiary,676,no,0,yes
23149,24159,28,single,tertiary,160,no,0,yes
23150,24160,34,married,tertiary,899,no,3,yes
23151,24161,47,married,secondary,1230,no,0,yes
23159,24169,59,married,tertiary,0,no,0,yes
23162,24172,32,single,tertiary,700,no,0,yes
23163,24173,31,single,secondary,0,no,0,yes
23164,24174,49,married,secondary,3608,no,0,yes
23165,24176,27,single,secondary,67,no,0,yes
23166,24177,35,single,secondary,127,no,0,yes
23167,24178,32,married,secondary,2089,no,0,yes
23168,24180,58,married,tertiary,4152,no,0,yes
23170,24182,30,single,secondary,816,no,0,yes
23256,24270,37,married,secondary,5447,yes,0,yes
23257,24271,44,divorced,secondary,275,no,0,yes
23260,24274,57,married,secondary,1540,no,0,yes
23261,24275,34,married,secondary,751,yes,0,yes
23347,24363,47,married,tertiary,3505,no,0,yes
23374,24390,53,divorced,tertiary,2228,no,0,yes
23409,24425,49,married,secondary,202,no,1,yes
23425,24441,54,single,secondary,380,no,0,yes
23478,24495,41,married,primary,5310,no,0,yes
23491,24509,55,married,secondary,1504,yes,0,yes
23507,24527,59,married,tertiary,1783,yes,0,yes
23543,24565,41,married,secondary,0,no,0,yes
23598,24622,53,married,tertiary,2269,no,1,yes
23668,24699,37,married,secondary,5115,no,4,yes
23678,24709,45,married,secondary,781,yes,2,yes
23694,24725,49,single,secondary,-188,yes,0,yes
23707,24738,31,single,tertiary,761,no,0,yes
23739,24771,31,single,secondary,19,no,0,yes
23750,24782,35,married,secondary,4508,no,0,yes
23796,24830,37,divorced,tertiary,66,no,0,yes
23814,24849,48,married,tertiary,2266,no,0,yes
23850,24886,39,single,secondary,4646,no,0,yes
23860,24896,34,single,secondary,2729,no,0,yes
23885,24921,41,married,secondary,8491,no,0,yes
23886,24922,34,single,tertiary,1494,no,1,yes
23890,24926,49,married,tertiary,1050,no,0,yes
23897,24933,49,married,primary,6188,no,0,yes
23900,24936,31,married,tertiary,26,yes,6,yes
23940,24976,41,married,tertiary,0,no,0,yes
23943,24979,46,married,secondary,0,no,0,yes
23962,24998,54,divorced,tertiary,2171,yes,0,yes
24039,25076,38,married,tertiary,3234,no,0,yes
24157,25195,39,married,secondary,11887,no,0,yes
24196,25235,46,married,tertiary,0,no,3,yes
24212,25251,58,divorced,tertiary,5037,no,0,yes
24281,25322,35,married,secondary,1055,no,0,yes
24287,25328,32,single,tertiary,386,no,0,yes
24366,25407,30,married,secondary,8781,no,0,yes
24377,25418,51,married,primary,538,no,0,yes
24389,25430,56,married,tertiary,1390,no,0,yes
24416,25457,37,married,tertiary,156,no,0,yes
24426,25467,46,single,secondary,874,no,0,yes
24430,25471,30,single,tertiary,5561,no,0,yes
24513,25555,45,divorced,secondary,644,no,1,yes
24519,25561,35,divorced,tertiary,859,yes,0,yes
24520,25562,32,married,primary,3136,no,0,yes
24521,25563,30,single,primary,0,yes,0,yes
24547,25589,30,single,secondary,-617,yes,0,yes
24565,25607,41,married,tertiary,67,no,0,yes
24568,25611,49,married,secondary,1623,no,0,yes
24584,25627,46,married,tertiary,2421,no,4,yes
24617,25661,43,married,tertiary,1429,no,2,yes
24629,25674,51,married,tertiary,580,no,0,yes
24647,25692,32,single,secondary,2615,no,0,yes
24656,25701,53,divorced,secondary,587,no,0,yes
24681,25729,33,single,tertiary,149,no,1,yes
24684,25732,40,single,secondary,3,no,0,yes
24691,25739,42,married,primary,807,no,0,yes
24795,25845,46,divorced,secondary,3354,no,1,yes
24830,25882,32,married,secondary,264,yes,0,yes
24849,25901,32,single,tertiary,1249,no,0,yes
24857,25909,38,married,primary,190,no,1,yes
24872,25925,32,single,tertiary,550,no,0,yes
24879,25932,52,married,tertiary,40,no,0,yes
24894,25948,30,married,secondary,12737,yes,0,yes
24911,25965,35,married,secondary,0,no,0,yes
24925,25979,36,married,secondary,1207,no,0,yes
24930,25984,34,married,tertiary,1006,no,2,yes
24959,26015,58,divorced,primary,2538,no,6,yes
24962,26018,43,divorced,secondary,347,no,0,yes
24972,26028,42,married,tertiary,3713,no,0,yes
24986,26044,43,single,secondary,733,no,0,yes
25039,26100,40,married,tertiary,3352,no,1,yes
25047,26110,32,married,secondary,254,no,0,yes
25126,26192,32,married,tertiary,4654,yes,2,yes
25127,26193,41,single,secondary,-386,yes,0,yes
25141,26208,34,single,secondary,3043,yes,0,yes
25149,26216,40,single,secondary,1547,no,0,yes
25179,26246,32,single,tertiary,945,no,0,yes
25183,26250,32,single,secondary,6402,no,0,yes
25184,26251,36,single,secondary,1295,no,0,yes
25198,26266,45,married,secondary,6993,no,0,yes
25202,26270,47,married,secondary,4420,yes,0,yes
25218,26287,35,divorced,tertiary,141,yes,0,yes
25220,26289,36,married,secondary,11462,no,0,yes
25253,26324,30,divorced,secondary,341,no,0,yes
25259,26330,33,married,tertiary,6843,no,10,yes
25295,26366,30,married,secondary,501,yes,1,yes
25300,26371,32,single,secondary,5806,no,0,yes
25322,26393,45,married,tertiary,20138,no,0,yes
25326,26397,47,married,secondary,1315,no,0,yes
25362,26434,46,married,tertiary,0,no,1,yes
25365,26437,39,divorced,primary,1317,no,4,yes
25371,26443,56,married,secondary,23,no,0,yes
25383,26455,39,single,tertiary,7,no,0,yes
25390,26462,30,married,secondary,3929,no,0,yes
25418,26490,45,married,secondary,7,no,0,yes
25430,26502,43,married,secondary,699,yes,2,yes
25432,26504,53,married,primary,421,no,0,yes
25436,26508,43,married,tertiary,4333,no,0,yes
25446,26518,54,divorced,secondary,300,no,0,yes
25452,26524,43,divorced,primary,3550,no,0,yes
25460,26533,30,single,secondary,7773,no,0,yes
25469,26542,30,married,secondary,1794,no,0,yes
25471,26544,36,single,tertiary,2032,yes,0,yes
25489,26562,33,married,tertiary,3401,no,0,yes
25492,26565,38,married,tertiary,1110,no,2,yes
25506,26579,37,divorced,secondary,3068,yes,1,yes
25507,26580,32,married,secondary,983,no,1,yes
25522,26595,59,divorced,secondary,2396,no,0,yes
25525,26598,59,married,secondary,6888,no,0,yes
25598,26674,46,divorced,secondary,2087,no,0,yes
25606,26682,32,single,primary,121,no,0,yes
25607,26683,52,single,tertiary,3469,no,0,yes
25696,26774,45,married,primary,5461,no,0,yes
25698,26776,52,married,secondary,7119,yes,0,yes
25704,26782,31,single,tertiary,13711,no,0,yes
25743,26821,31,married,tertiary,-35,no,0,yes
25748,26826,31,married,secondary,314,no,7,yes
25752,26830,41,single,secondary,650,no,0,yes
25760,26838,39,single,secondary,18508,no,0,yes
25761,26839,53,divorced,tertiary,2679,no,0,yes
25765,26843,35,married,secondary,5639,no,0,yes
25793,26872,33,married,secondary,2918,yes,0,yes
25808,26887,43,married,primary,3064,no,0,yes
25847,26926,50,married,primary,12519,no,1,yes
25856,26935,36,married,tertiary,4069,no,0,yes
25862,26942,34,single,tertiary,4254,no,0,yes
25874,26954,46,divorced,primary,219,no,0,yes
25881,26961,47,married,secondary,0,no,1,yes
25882,26962,39,single,secondary,2263,yes,0,yes
25885,26965,31,single,tertiary,2589,no,0,yes
25888,26968,41,single,tertiary,1982,no,0,yes
25904,26985,43,married,secondary,14144,no,0,yes
25913,26995,30,single,secondary,4642,no,0,yes
25915,26997,59,married,tertiary,7049,no,2,yes
25918,27000,39,divorced,tertiary,1968,no,0,yes
25933,27017,48,married,primary,7195,no,0,yes
25935,27019,30,single,tertiary,376,no,0,yes
25937,27021,50,married,secondary,4117,no,0,yes
25939,27023,31,single,secondary,3950,no,0,yes
25940,27024,31,married,tertiary,5,yes,2,yes
25944,27028,30,single,secondary,495,no,0,yes
25949,27036,30,married,tertiary,1942,yes,3,yes
25963,27050,47,married,primary,324,no,0,yes
25973,27060,42,single,tertiary,0,no,0,yes
26000,27088,31,married,secondary,8629,no,2,yes
26003,27091,30,married,secondary,455,no,0,yes
26008,27096,34,single,secondary,4536,no,0,yes
26010,27098,53,married,secondary,1777,no,1,yes
26013,27101,34,married,primary,3527,no,0,yes
26016,27105,57,married,tertiary,372,no,0,yes
26020,27109,41,single,secondary,92,no,0,yes
26030,27119,40,married,primary,72,yes,0,yes
26033,27122,46,married,secondary,2948,no,0,yes
26034,27123,37,divorced,secondary,1533,no,0,yes
26084,27177,31,married,tertiary,4148,no,9,yes
26097,27191,58,married,tertiary,96,no,0,yes
26131,27228,39,married,secondary,2245,no,0,yes
26136,27233,47,married,secondary,834,yes,2,yes
26137,27234,44,married,tertiary,4119,yes,0,yes
26172,27269,45,married,tertiary,-525,yes,0,yes
26197,27294,35,single,tertiary,5301,no,0,yes
26232,27330,41,married,primary,39,no,0,yes
26250,27348,33,single,tertiary,0,no,0,yes
26256,27354,30,single,tertiary,2766,no,0,yes
26280,27378,30,single,tertiary,3300,no,0,yes
26284,27382,31,single,tertiary,4718,no,0,yes
26298,27396,30,married,secondary,4457,no,0,yes
26307,27405,42,married,tertiary,36,no,0,yes
26337,27436,49,married,tertiary,22520,no,0,yes
26341,27440,35,married,primary,3285,no,0,yes
26342,27441,59,single,primary,7724,no,0,yes
26344,27443,31,married,secondary,111,no,2,yes
26393,27495,43,married,tertiary,2640,no,0,yes
26409,27512,30,single,secondary,2734,no,0,yes
26412,27515,46,married,secondary,1167,no,0,yes
26415,27518,38,married,tertiary,3436,no,0,yes
26428,27532,30,married,secondary,0,no,0,yes
26437,27541,35,divorced,secondary,3636,yes,0,yes
26447,27551,43,married,secondary,3288,no,0,yes
26450,27555,34,single,tertiary,2633,no,0,yes
26454,27559,52,married,secondary,580,no,0,yes
26462,27567,46,married,secondary,149,no,0,yes
26469,27574,46,divorced,secondary,4329,no,0,yes
26496,27602,37,single,tertiary,22125,yes,0,yes
26538,27645,37,single,secondary,1097,no,0,yes
26551,27658,42,married,tertiary,1275,yes,0,yes
26607,27715,23,single,primary,1003,no,0,yes
26619,27727,53,divorced,secondary,1004,yes,0,yes
26633,27742,59,divorced,secondary,1,no,5,yes
26642,27751,42,married,secondary,774,no,0,yes
26653,27763,55,divorced,secondary,4,no,0,yes
26655,27765,26,single,tertiary,814,no,0,yes
26667,27777,49,married,secondary,808,no,0,yes
26692,27803,30,single,secondary,1309,no,0,yes
26711,27823,34,single,secondary,859,no,0,yes
26769,27885,31,single,tertiary,1657,yes,0,yes
26829,27949,28,single,secondary,4465,no,0,yes
26879,28001,46,divorced,tertiary,0,no,0,yes
26938,28066,26,single,secondary,622,no,0,yes
26961,28095,31,single,secondary,1709,yes,0,yes
26963,28098,51,single,tertiary,394,no,0,yes
27048,28190,32,single,secondary,486,no,0,yes
27054,28197,47,married,secondary,1125,no,0,yes
27076,28220,53,married,primary,-462,no,0,yes
27093,28237,29,single,primary,550,no,0,yes
27095,28239,32,single,secondary,540,yes,0,yes
27099,28243,26,single,primary,941,no,0,yes
27100,28244,37,single,secondary,443,no,0,yes
27130,28274,40,single,tertiary,1361,no,0,yes
27139,28284,32,married,primary,634,no,0,yes
27164,28309,48,married,tertiary,0,no,0,yes
27301,28453,27,single,tertiary,667,no,0,yes
27331,28485,33,single,tertiary,-452,no,0,yes
27393,28551,49,married,primary,518,no,0,yes
27502,28661,27,single,primary,13,no,0,yes
27529,28689,60,married,tertiary,-71,yes,0,yes
27536,28696,41,single,secondary,3234,no,0,yes
27550,28710,36,single,secondary,98,no,0,yes
27561,28722,28,single,secondary,69,no,0,yes
27588,28751,42,divorced,secondary,936,no,0,yes
27651,28816,33,single,tertiary,300,yes,0,yes
27713,28881,31,divorced,secondary,217,no,0,yes
27733,28901,30,single,secondary,49,no,0,yes
27735,28903,31,single,primary,163,no,1,yes
27736,28904,26,single,secondary,110,no,0,yes
27756,28924,62,married,secondary,973,no,0,yes
27762,28931,40,single,tertiary,1646,no,2,yes
27766,28935,45,married,secondary,2040,no,0,yes
27772,28941,55,married,secondary,-308,no,0,yes
27796,28965,62,married,secondary,1495,no,0,yes
27800,28969,29,single,tertiary,2325,no,0,yes
27808,28977,47,single,tertiary,86,no,0,yes
27823,28994,44,married,secondary,0,no,1,yes
27826,28997,56,married,secondary,0,no,0,yes
27852,29024,39,single,tertiary,2103,no,0,yes
27864,29036,59,single,secondary,2,no,0,yes
27891,29064,43,divorced,secondary,51,no,0,yes
27926,29100,36,married,secondary,96,no,0,yes
27927,29101,31,single,secondary,284,no,0,yes
27993,29167,29,single,secondary,1027,no,0,yes
28018,29194,40,divorced,secondary,687,no,1,yes
28026,29202,60,married,tertiary,2557,no,0,yes
28052,29229,38,married,tertiary,1308,no,0,yes
28067,29244,41,divorced,secondary,840,no,0,yes
28071,29249,58,divorced,tertiary,5701,no,0,yes
28087,29265,61,married,tertiary,6016,no,0,yes
28089,29267,48,single,primary,8990,no,0,yes
28094,29272,36,married,tertiary,630,no,0,yes
28110,29288,31,single,tertiary,3283,no,1,yes
28113,29291,30,single,tertiary,432,no,0,yes
28115,29293,26,single,tertiary,15161,no,0,yes
28130,29310,43,single,secondary,-247,yes,4,yes
28133,29313,39,married,secondary,52,no,0,yes
28146,29327,48,single,primary,623,no,0,yes
28150,29331,46,married,primary,977,yes,0,yes
28153,29334,26,single,secondary,0,no,0,yes
28162,29343,51,married,secondary,100,no,0,yes
28192,29376,28,married,primary,7459,no,2,yes
28213,29397,37,married,tertiary,4089,no,4,yes
28246,29430,53,married,secondary,6112,no,0,yes
28264,29448,29,single,tertiary,1669,no,0,yes
28265,29449,57,married,secondary,169,no,0,yes
28270,29454,25,single,secondary,483,yes,0,yes
28279,29464,68,divorced,primary,250,no,0,yes
28303,29488,36,single,tertiary,1291,no,0,yes
28308,29493,34,married,tertiary,0,no,0,yes
28314,29499,56,married,primary,0,no,0,yes
28315,29500,38,divorced,secondary,902,no,0,yes
28316,29501,39,married,primary,118,no,0,yes
28319,29505,54,divorced,secondary,2156,no,4,yes
28324,29510,32,single,tertiary,2360,no,5,yes
28329,29515,41,married,primary,201,no,0,yes
28336,29522,48,single,secondary,-92,no,0,yes
28337,29523,59,divorced,secondary,514,no,0,yes
28338,29524,54,married,tertiary,1303,no,0,yes
28355,29543,53,married,primary,751,no,0,yes
28399,29587,36,married,tertiary,254,no,0,yes
28416,29606,39,single,secondary,-114,no,0,yes
28423,29613,31,married,tertiary,1331,no,1,yes
28425,29615,38,married,tertiary,613,no,0,yes
28442,29633,32,single,tertiary,520,no,0,yes
28463,29654,30,single,secondary,732,no,0,yes
28467,29658,40,married,tertiary,1308,no,0,yes
28553,29747,30,single,tertiary,1028,no,0,yes
28588,29782,28,married,tertiary,0,no,4,yes
28598,29792,52,married,tertiary,-970,no,0,yes
28612,29809,30,single,tertiary,305,no,0,yes
28623,29822,32,single,tertiary,1246,no,0,yes
28629,29828,34,married,tertiary,73,no,0,yes
28633,29832,31,single,primary,406,no,0,yes
28645,29844,57,married,secondary,4391,no,0,yes
28647,29846,31,married,tertiary,168,no,0,yes
28652,29853,29,married,tertiary,1441,no,0,yes
28664,29865,75,divorced,primary,3881,no,0,yes
28681,29882,27,single,tertiary,931,no,0,yes
28694,29895,32,single,secondary,678,no,4,yes
28697,29898,31,married,tertiary,141,no,7,yes
28733,29934,41,single,tertiary,-94,no,1,yes
28743,29944,22,single,tertiary,897,no,0,yes
28745,29946,31,single,secondary,1214,no,0,yes
28759,29961,69,married,primary,324,no,0,yes
28766,29968,30,married,tertiary,2666,no,0,yes
28779,29982,49,divorced,secondary,10613,yes,0,yes
28781,29985,29,single,tertiary,697,no,0,yes
28807,30011,45,married,secondary,7895,no,0,yes
28849,30053,43,married,secondary,953,no,0,yes
28854,30058,30,single,tertiary,0,no,0,yes
28880,30086,33,married,secondary,335,no,7,yes
28885,30091,28,single,primary,198,no,0,yes
28898,30105,56,single,primary,1110,no,0,yes
28923,30131,39,married,secondary,130,yes,0,yes
28928,30136,33,married,secondary,315,no,0,yes
28932,30140,38,married,tertiary,4383,no,0,yes
28933,30141,30,single,secondary,313,no,0,yes
28946,30154,29,married,secondary,273,no,0,yes
28968,30176,69,married,tertiary,840,no,0,yes
28983,30191,44,married,tertiary,309,no,0,yes
28984,30192,37,married,tertiary,57,no,0,yes
29007,30215,35,single,tertiary,2707,no,0,yes
29036,30245,31,single,tertiary,1109,no,2,yes
29084,30293,27,single,tertiary,2648,no,0,yes
29091,30300,26,single,secondary,101,no,1,yes
29112,30324,26,single,tertiary,725,no,29,yes
29139,30351,34,married,primary,309,no,0,yes
29141,30353,34,married,secondary,155,no,0,yes
29145,30357,37,married,secondary,7433,yes,0,yes
29152,30364,42,single,secondary,541,no,0,yes
29198,30414,53,married,tertiary,1624,no,0,yes
29223,30440,54,married,secondary,0,no,0,yes
29232,30449,34,single,tertiary,992,no,0,yes
29252,30469,48,single,tertiary,318,no,0,yes
29263,30481,40,married,primary,1908,no,0,yes
29273,30491,57,married,secondary,3754,no,0,yes
29274,30493,60,married,tertiary,2281,no,0,yes
29282,30501,25,single,secondary,2354,no,0,yes
29288,30508,28,single,tertiary,676,no,0,yes
29307,30530,34,married,tertiary,1076,no,0,yes
29310,30533,34,single,tertiary,1228,no,0,yes
29315,30538,58,married,tertiary,3342,no,0,yes
29316,30539,44,divorced,tertiary,0,no,0,yes
29325,30548,32,single,tertiary,0,no,0,yes
29337,30561,38,divorced,secondary,19,no,2,yes
29366,30591,64,married,primary,440,no,0,yes
29369,30594,31,single,secondary,13,yes,0,yes
29391,30617,31,single,tertiary,12857,no,1,yes
29401,30627,66,married,secondary,0,no,0,yes
29418,30644,37,single,tertiary,6101,no,0,yes
29428,30654,33,married,tertiary,158,no,0,yes
29441,30669,50,married,tertiary,346,no,0,yes
29451,30679,60,divorced,secondary,-41,yes,1,yes
29463,30692,33,single,secondary,697,no,0,yes
29488,30718,56,married,tertiary,616,no,0,yes
29502,30732,26,single,tertiary,1140,no,0,yes
29517,30747,53,married,secondary,849,no,0,yes
29525,30755,59,divorced,tertiary,3444,no,0,yes
29556,30787,32,married,secondary,1879,no,0,yes
29570,30803,22,single,secondary,0,no,0,yes
29573,30806,34,married,tertiary,0,no,1,yes
29621,30857,28,single,secondary,5679,no,0,yes
29623,30859,39,married,tertiary,1493,no,0,yes
29628,30865,28,single,secondary,313,no,0,yes
29648,30886,31,single,tertiary,1815,no,0,yes
29667,30905,33,single,tertiary,700,no,1,yes
29669,30907,66,married,primary,206,no,0,yes
29671,30909,26,single,secondary,255,no,0,yes
29672,30910,30,single,secondary,270,no,0,yes
29678,30917,28,single,tertiary,4987,no,0,yes
29719,30959,29,single,tertiary,673,no,0,yes
29752,30992,49,married,secondary,320,no,0,yes
29763,31006,34,married,secondary,0,no,1,yes
29766,31009,47,married,secondary,292,no,0,yes
29767,31010,42,married,tertiary,757,no,0,yes
29771,31014,51,married,tertiary,1347,yes,1,yes
29772,31015,43,married,tertiary,40,no,0,yes
29773,31016,61,married,tertiary,1257,no,0,yes
29774,31017,35,single,secondary,1693,no,0,yes
29777,31020,40,married,secondary,5060,no,1,yes
29779,31022,27,married,tertiary,73,no,0,yes
29780,31023,31,divorced,tertiary,373,no,0,yes
29784,31027,32,single,tertiary,1138,no,0,yes
29785,31028,30,single,tertiary,302,no,0,yes
29787,31030,31,married,tertiary,3,yes,0,yes
29788,31031,33,married,secondary,369,no,0,yes
29789,31032,69,married,primary,2346,no,0,yes
29792,31035,40,divorced,tertiary,4736,no,0,yes
29799,31043,30,single,secondary,1599,no,0,yes
29800,31044,41,married,secondary,1066,no,0,yes
29802,31046,31,married,tertiary,2603,no,0,yes
29803,31047,22,single,secondary,381,no,0,yes
29805,31049,22,single,secondary,33,no,0,yes
29806,31050,37,married,secondary,1314,no,3,yes
29808,31053,33,married,tertiary,1778,no,0,yes
29809,31054,48,single,tertiary,5689,no,0,yes
29810,31055,85,married,primary,12114,no,0,yes
29812,31057,72,married,tertiary,0,no,0,yes
29813,31058,46,divorced,secondary,2232,no,0,yes
29815,31060,26,single,tertiary,11862,no,0,yes
29816,31061,37,married,tertiary,127,no,0,yes
29819,31064,53,divorced,tertiary,2152,no,0,yes
29820,31065,33,single,tertiary,3552,no,3,yes
29824,31069,90,divorced,secondary,1,no,0,yes
29826,31071,54,divorced,secondary,1872,no,0,yes
29827,31072,67,married,tertiary,1341,no,0,yes
29828,31073,27,single,tertiary,3733,no,0,yes
29831,31077,71,married,primary,4657,no,0,yes
29832,31078,35,single,secondary,188,no,5,yes
29834,31080,44,divorced,secondary,397,yes,1,yes
29835,31082,47,married,tertiary,0,no,0,yes
29836,31083,44,married,tertiary,348,yes,0,yes
29837,31084,37,single,secondary,2442,no,0,yes
29838,31085,37,married,secondary,1543,no,0,yes
29839,31086,28,single,tertiary,805,no,0,yes
29843,31090,21,single,secondary,2265,no,0,yes
29846,31093,25,single,tertiary,2506,no,0,yes
29847,31094,63,married,secondary,1612,no,0,yes
29849,31096,32,single,tertiary,312,no,0,yes
29850,31097,51,married,secondary,196,yes,0,yes
29852,31099,73,married,tertiary,459,no,0,yes
29853,31100,26,single,secondary,620,no,0,yes
29854,31101,74,married,secondary,1714,no,0,yes
29855,31102,62,divorced,tertiary,5943,no,0,yes
29856,31103,65,married,tertiary,2416,no,0,yes
29858,31105,47,married,secondary,335,no,0,yes
29859,31107,38,married,secondary,755,no,0,yes
29860,31108,71,married,secondary,2850,no,0,yes
29861,31109,29,married,secondary,1135,no,0,yes
29863,31111,61,married,primary,197,no,0,yes
29866,31114,64,divorced,primary,315,no,0,yes
29867,31115,57,divorced,primary,720,no,0,yes
29868,31116,75,married,primary,358,no,0,yes
29870,31118,37,married,tertiary,5355,no,0,yes
29871,31119,68,married,secondary,445,no,0,yes
29872,31120,29,single,tertiary,5359,no,0,yes
29874,31122,51,married,primary,1443,no,0,yes
29875,31123,41,divorced,secondary,4047,no,0,yes
29876,31124,24,single,secondary,23878,no,0,yes
29878,31126,24,single,secondary,167,yes,0,yes
29879,31127,39,single,tertiary,0,no,0,yes
29881,31129,59,married,secondary,1047,no,0,yes
29882,31130,85,divorced,primary,7613,no,0,yes
29883,31131,31,married,tertiary,131,no,0,yes
29884,31132,32,single,tertiary,2340,no,0,yes
29885,31133,29,single,tertiary,15459,no,0,yes
29886,31134,51,married,secondary,117,no,0,yes
29887,31135,39,married,secondary,2266,no,0,yes
29888,31136,28,single,secondary,0,no,0,yes
29889,31137,39,married,secondary,4101,no,1,yes
29894,31142,44,married,primary,558,no,0,yes
29896,31144,26,single,secondary,2509,no,0,yes
29898,31146,28,single,tertiary,1287,no,0,yes
29899,31147,48,married,tertiary,1808,no,0,yes
29900,31148,37,single,secondary,1130,no,0,yes
29901,31149,71,married,tertiary,653,no,0,yes
29904,31153,28,single,tertiary,3611,no,0,yes
29907,31157,26,single,tertiary,313,yes,0,yes
29908,31158,43,single,tertiary,983,no,0,yes
29913,31163,27,single,secondary,1187,no,1,yes
29923,31173,30,single,tertiary,5561,no,1,yes
29929,31180,25,single,secondary,1231,no,0,yes
29930,31181,25,single,tertiary,3730,no,0,yes
29931,31182,30,single,tertiary,617,no,0,yes
29932,31183,73,married,tertiary,1641,no,0,yes
29933,31184,31,single,tertiary,924,no,0,yes
29936,31187,28,single,tertiary,2489,no,0,yes
29937,31188,66,married,secondary,995,no,0,yes
29939,31190,41,married,secondary,280,no,0,yes
29940,31191,46,married,secondary,3434,yes,0,yes
29941,31192,42,married,tertiary,576,no,0,yes
29942,31193,28,single,secondary,1363,no,0,yes
29945,31196,33,single,tertiary,1636,no,0,yes
29947,31198,38,married,secondary,5115,no,6,yes
29948,31199,39,single,primary,581,no,1,yes
29949,31200,33,single,secondary,607,no,0,yes
29950,31201,42,married,secondary,1376,no,0,yes
29955,31206,35,married,secondary,52,no,0,yes
29957,31208,55,married,secondary,0,yes,0,yes
29959,31210,43,married,primary,3917,no,0,yes
29963,31214,37,married,tertiary,549,no,0,yes
29967,31218,29,single,tertiary,92,no,0,yes
29968,31219,49,married,tertiary,2881,no,0,yes
29970,31222,61,married,tertiary,32685,no,0,yes
29974,31226,44,single,secondary,250,no,0,yes
29977,31229,54,married,secondary,602,no,0,yes
29978,31230,28,single,tertiary,730,no,0,yes
29980,31232,30,single,secondary,523,yes,0,yes
29982,31234,47,married,secondary,293,no,0,yes
29983,31235,34,single,secondary,215,no,0,yes
29985,31237,37,single,tertiary,0,no,0,yes
29986,31238,25,single,tertiary,42,no,0,yes
29987,31239,29,single,secondary,316,no,0,yes
29988,31240,62,married,secondary,4562,no,0,yes
29989,31241,58,divorced,secondary,10180,no,0,yes
29990,31242,46,married,tertiary,0,no,0,yes
29991,31243,56,married,tertiary,281,no,0,yes
29992,31244,49,married,tertiary,523,no,0,yes
29998,31250,33,married,tertiary,250,no,0,yes
29999,31251,24,single,tertiary,1030,no,0,yes
30001,31253,27,single,tertiary,0,no,0,yes
30002,31254,60,married,secondary,404,no,2,yes
30004,31257,32,single,tertiary,506,no,0,yes
30007,31261,83,divorced,primary,1097,no,0,yes
30009,31264,53,married,secondary,2693,no,1,yes
30010,31265,45,divorced,secondary,2353,no,2,yes
30014,31269,35,married,tertiary,3698,no,0,yes
30015,31270,28,single,secondary,5763,yes,0,yes
30016,31271,31,divorced,tertiary,883,no,1,yes
30019,31275,30,single,tertiary,2539,no,0,yes
30020,31276,29,married,secondary,2326,no,0,yes
30021,31277,36,single,tertiary,811,no,0,yes
30022,31278,57,married,tertiary,256,no,0,yes
30023,31280,21,single,secondary,682,no,0,yes
30024,31281,44,single,tertiary,483,no,6,yes
30025,31282,23,single,tertiary,1506,no,0,yes
30026,31283,34,single,tertiary,575,no,0,yes
30028,31285,79,married,secondary,8304,no,0,yes
30029,31286,32,married,secondary,409,no,0,yes
30033,31290,37,single,tertiary,1316,no,3,yes
30035,31292,35,single,tertiary,671,no,0,yes
30036,31293,47,married,tertiary,2351,no,0,yes
30037,31294,61,married,tertiary,997,no,0,yes
30038,31295,30,single,tertiary,4808,no,0,yes
30041,31298,70,married,secondary,6422,no,0,yes
30042,31299,28,single,tertiary,3623,no,0,yes
30044,31301,52,married,tertiary,31,no,0,yes
30046,31303,28,single,secondary,171,no,0,yes
30048,31305,43,married,secondary,1358,no,0,yes
30052,31309,57,married,tertiary,2681,no,0,yes
30053,31310,24,single,tertiary,-61,no,0,yes
30054,31311,25,married,tertiary,4461,no,0,yes
30058,31315,32,married,tertiary,8929,no,0,yes
